
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.200   100.0 900.0 -45.0   82.8   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
|10.100|o| 77.31| 75.43| 1.944|  0.244|  0.279|   1.7|  62.7|  40.4|  0.0|F2                      || 0.989| -55.377|
|10.100|x| 74.25| 74.89| 1.827|  0.084|  0.051|   1.7|  59.7|  43.4|  0.0|F2                      ||-0.989|  35.707|
|10.200|o| 77.56| 75.37| 1.964|  0.269|  0.286|   1.7|  63.1|  40.0|  0.0|F2                      || 0.989| -55.251|
|10.200|x| 74.44| 74.84| 1.840|  0.100|  0.041|   1.7|  59.9|  43.2|  0.0|F2                      ||-0.989|  35.800|
|10.300|o| 77.82| 75.30| 1.986|  0.296|  0.294|   1.8|  63.5|  39.5|  0.0|F2                      || 0.989| -55.119|
|10.300|x| 74.64| 74.79| 1.853|  0.116|  0.030|   1.7|  60.1|  43.0|  0.0|F2                      ||-0.989|  35.895|
|10.400|o| 78.09| 75.23| 2.009|  0.324|  0.305|   1.8|  63.9|  39.1|  0.0|F2                      || 0.989| -54.981|
|10.400|x| 74.84| 74.74| 1.866|  0.134|  0.018|   1.8|  60.3|  42.7|  0.0|F2                      ||-0.989|  35.994|
|10.500|o| 78.37| 75.16| 2.035|  0.354|  0.317|   1.9|  64.4|  38.5|  0.0|F2                      || 0.989| -54.836|
|10.500|x| 75.05| 74.69| 1.881|  0.152|  0.006|   1.8|  60.5|  42.5|  0.0|F2                      ||-0.989|  36.100|
|10.600|o| 78.65| 75.09| 2.063|  0.385|  0.332|   2.0|  64.9|  37.9|  0.0|F2                      || 0.989| -54.684|
|10.600|x| 75.27| 74.63| 1.896|  0.172| -0.007|   1.8|  60.8|  42.2|  0.0|F2                      ||-0.989|  36.211|
|10.700|o| 78.95| 75.01| 2.093|  0.418|  0.349|   2.0|  65.5|  37.3|  0.0|F2                      || 0.989| -54.525|
|10.700|x| 75.49| 74.57| 1.912|  0.192| -0.020|   1.9|  61.0|  41.9|  0.0|F2                      ||-0.989|  36.326|
|10.800|o| 79.26| 74.92| 2.127|  0.453|  0.369|   2.1|  66.1|  36.6|  0.0|F2                      || 0.989| -54.358|
|10.800|x| 75.72| 74.51| 1.929|  0.214| -0.035|   1.9|  61.3|  41.6|  0.0|F2                      ||-0.989|  36.448|
|10.900|o| 69.28| 86.75| 2.262| -2.147|  0.600|   2.1|  53.8|  48.9|  0.0|F2                      || 0.993| -85.056|
|10.900|o| 75.30| 88.44| 2.454| -1.447|  1.160|   2.7|  59.5|  42.6|  0.0|F2                      || 0.993| -90.276|
