 15.99 10.99 2745.87   -6.29 F2F2            
 15.99  0.00    0.00    0.00                 
 19.14 18.14 1063.68   -3.05 F2              
 19.14 14.81 2322.61   -2.60 F2F2            
 19.14  0.00    0.00    0.00                 
 60.03 58.99  313.39    6.85 F2              
 60.03 57.24  651.83    7.93 F2F2            
 60.03 54.50 1033.29    9.03 F2F2F2          
 11.61  9.39 1605.99   -6.67 F2              
 11.61  0.00    0.00    0.00                 
 11.61 54.50 1033.29    9.03 F2F2F2          
 21.47 20.63  961.90   -3.04 F2              
 21.47 17.73 2073.50   -2.58 F2F2            
 21.47 12.03 3692.27   -1.92 F2F2F2          
 40.96 40.29  527.31   -2.92 F2              
 40.96 38.55 1096.14   -2.24 F2F2            
 40.96 35.29 1756.48   -1.43 F2F2F2          
 15.96 14.65 1241.96   -4.76 F2              
 15.96 10.58 2784.16   -4.30 F2F2            
 15.96  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 10.58 2784.16   -4.30 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 10.58 2784.16   -4.30 F2F2            
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 10.58 2784.16   -4.30 F2F2            
  0.00  0.00    0.00    0.00                 
 13.16 11.27 1456.03   -4.57 F2              
 13.16  0.00    0.00    0.00                 
 13.16  0.00    0.00    0.00                 
 32.58 31.98  663.86   -4.53 F2              
 32.58 30.06 1388.81   -3.96 F2F2            
 32.58 26.29 2269.57   -3.23 F2F2F2          
 58.99 58.07  322.68    1.83 F2              
 58.99 56.45  669.07    2.95 F2F2            
 58.99 53.81 1057.16    4.14 F2F2F2          
 26.23 25.62  807.51   -5.40 F2              
 26.23 23.38 1706.10   -4.89 F2F2            
 26.23 18.96 2871.82   -4.19 F2F2F2          
 15.69 14.44 1255.68   -6.76 F2              
 15.69 10.54 2800.78   -6.29 F2F2            
 15.69  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00 10.54 2800.78   -6.29 F2F2            
  0.00  0.00    0.00    0.00                 
 18.02 17.01 1118.65   -5.55 F2              
 18.02 13.66 2444.61   -5.09 F2F2            
 18.02  0.00    0.00    0.00                 
 15.29 13.79 1290.33   -3.26 F2              
 15.29  9.21 2946.50   -2.81 F2F2            
 15.29  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
  0.00  9.21 2946.50   -2.81 F2F2            
  0.00  0.00    0.00    0.00                 
 18.53 17.59 1091.22   -5.75 F2              
 18.53 14.37 2374.39   -5.29 F2F2            
 18.53  0.00    0.00    0.00                 
