
delt0=       1  eps=   1e-05  ep=   1e-06  ep1=   0.001
Geomagnetic Field - const
fh= 1.34  i=  65.2  d=   6.8
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.000   200.0  20.0 -45.0   45.0   0.000
delta=-0.000  r0= 200.0  lon=  39.000 lat=  55.000
Beta=  20.0  Alfa=   0.0 aX=  20.0 aY= 100.0 aZ=  20.0


Number diff. equation: 6

+==============================================================================+
|   Medium characteristics Sunspot number= 139.8 IG= 122.8   GMT time:15:00    |
|------------------------------------------------------------------------------|
|   S   | fh |  I  |   D  | fd |  hd | fe |  he | ff1 | hf1 | ff2 | hf2 |   Hi |
|-------+----+-----+------+----+-----+----+-----+-----+-----+-----+-----+------|
|    0.0|1.25| 58.8|   3.1|0.18| 84.0|0.77|110.0| 0.00|  0.0| 8.00|290.2|  98.0|
+==============================================================================+

+==================================+
|       Es-layer parametres        |
|----------------------------------|
|   S   | hEs | fbEs | f0Es | P Es |
|-------+-----+------+------+------|
|    0.0|110.4| 1.99 | 2.50 | 62.9 |
+==================================+

+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|0-x| fr  |  time |hop| d0  | d1  |   fi   |  teta  |   dist  |  at  |  dev |   p   |  df  |  l   |   fot  |   tot  |  rot | lsp  |   pf  |    s  |                |
|  0|13.60|54211.7|  1|24.04|28.20|  24.445|  41.079| 1153.491| -75.2|  -0.4| 1342.6| 0.000|   0.0|  31.727|  41.548|252.99|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|28.20|30.06|  11.654|  41.452| 2091.185| -75.7|  -0.9| 2460.3| 0.000|   0.0|  17.855|  41.054|233.73|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|30.06|30.81|   0.264|  43.150| 2963.010| -76.1|  -1.3| 3511.9| 0.000|   0.0|   5.810|  42.142|228.09|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54243.7|  1| 0.06| 7.66|   3.298|  38.490| 2654.978| -66.2|  -0.2| 2730.3| 0.000|   0.0|  18.018|  38.678|184.94|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54243.7|  1| 0.00| 7.77|   3.256|  40.584| 2685.031| -71.3|  -0.2| 2762.3| 0.000|   0.0|  17.568|  39.961|187.82|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54243.7|  1| 2.07| 8.47|   6.649|  39.704| 2431.720| -69.7|  -0.2| 2510.2| 0.000|   0.0|  20.601|  39.713|190.75|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54243.7|  1|21.57|25.77|  24.005|  40.131| 1195.482| -70.2|  -0.4| 1361.0| 0.000|   0.0|  31.573|  41.026|244.32|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|25.77|27.53|  10.212|  39.872| 2180.159| -70.7|  -0.9| 2506.3| 0.000|   0.0|  16.935|  39.758|225.22|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|27.53|28.21|  -2.405|  41.197| 3102.323| -71.0|  -1.2| 3589.6| 0.000|   0.0|   3.660|  40.356|219.97|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54243.7|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54243.7|  1|15.54|19.38|  21.083|  40.992| 1399.052| -75.2|  -0.5| 1522.4| 0.000|   0.0|  29.800|  41.347|226.70|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|19.38|20.84|   5.150|  42.128| 2578.719| -75.6|  -0.9| 2824.0| 0.000|   0.0|  12.863|  41.263|210.87|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|20.84|21.53|  -8.964|  45.254| 3714.977| -75.9|  -1.2| 4086.4| 0.000|   0.0|  -2.246|  43.487|207.94|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54243.7|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54243.7|  1| 2.26| 8.57|   7.003|  39.058| 2401.662| -68.0|  -0.2| 2479.9| 0.000|   0.0|  20.928|  39.356|190.25|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54275.6|  1|10.12|14.40|  16.937|  40.533| 1700.166| -73.3|  -0.4| 1799.5| 0.000|   0.0|  27.400|  40.887|212.17|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|14.40|15.81|  -2.209|  42.428| 3121.738| -73.6|  -0.7| 3321.2| 0.000|   0.0|   6.858|  41.091|197.88|   0.0|    0.0|    0.0|F2F2            |
|  0|13.60|54275.6|  1|15.57|19.41|  21.084|  41.014| 1398.985| -75.3|  -0.5| 1522.6| 0.000|   0.0|  29.784|  41.358|227.01|   0.0|    0.0|    0.0|F2              |
+---+-----+-------+---+-----+-----+--------+--------+---------+------+------+-------+------+------+--------+--------+------+------+-------+-------+----------------+
|   |     |       |  2|19.41|20.88|   5.173|  42.166| 2577.862| -75.7|  -0.9| 2823.8| 0.000|   0.0|  12.734|  41.304|210.92|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|20.88|21.57|  -8.908|  45.300| 3712.778| -76.1|  -1.3| 4085.0| 0.000|   0.0|  -2.226|  43.535|208.08|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54275.6|  1|14.41|18.39|  20.390|  40.622| 1450.374| -73.6|  -0.5| 1568.2| 0.000|   0.0|  29.391|  41.110|223.53|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|18.39|19.81|   3.781|  41.641| 2667.748| -74.0|  -0.9| 2902.2| 0.000|   0.0|  11.691|  40.821|207.47|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|19.81|20.48| -10.970|  44.828| 3843.343| -74.3|  -1.2| 4198.7| 0.000|   0.0|  -3.903|  43.001|205.11|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54275.6|  1| 0.00| 7.72|   3.208|  39.640| 2673.803| -69.0|  -0.2| 2750.2| 0.000|   0.0|  17.475|  39.364|186.21|   0.0|    0.0|    0.0|F2              |
|  0|13.60|54307.5|  1|17.77|21.49|  22.264|  41.381| 1312.361| -77.0|  -0.5| 1448.6| 0.000|   0.0|  30.453|  41.610|233.58|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|21.49|23.04|   7.442|  42.538| 2419.765| -77.5|  -1.0| 2690.0| 0.000|   0.0|  14.578|  41.699|217.33|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|23.04|23.77|  -5.651|  45.414| 3478.172| -77.9|  -1.4| 3886.0| 0.000|   0.0|   0.660|  43.784|213.76|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54307.5|  1|24.78|29.08|  24.359|  41.325| 1158.591| -76.6|  -0.4| 1359.8| 0.000|   0.0|  31.652|  41.677|257.29|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|29.08|30.99|  11.842|  41.881| 2083.481| -77.1|  -0.9| 2473.0| 0.000|   0.0|  17.883|  41.401|237.09|   0.0|    0.0|    0.0|F2F2            |
|   |     |       |  3|30.99|31.78|   0.810|  43.684| 2939.355| -77.5|  -1.3| 3516.1| 0.000|   0.0|   6.166|  42.633|231.10|   0.0|    0.0|    0.0|F2F2F2          |
|  0|13.60|54307.5|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54349.8|  1| 0.00| 0.00|   0.000|   0.000|    0.000|   0.0|   0.0|    0.0| 0.000|   0.0|   0.000|   0.000|  0.00|   0.0|    0.0|    0.0|                |
|  0|13.60|54349.8|  1| 4.87|10.17|  10.838|  40.131| 2137.149| -71.5|  -0.3| 2221.1| 0.000|   0.0|  23.485|  40.274|198.49|   0.0|    0.0|    0.0|F2              |
|   |     |       |  2|10.17|11.77| -12.323|  43.628| 3891.866| -71.7|  -0.5| 4064.5| 0.000|   0.0|  -1.597|  41.353|187.54|   0.0|    0.0|    0.0|F2F2            |
