 21.87 26.18 1161.98   89.82 F2              
 21.87 28.66 2088.81   89.43 F2F2            
 21.87 29.53 2934.25   89.27 F2F2F2          
 12.72 16.79 1431.85   94.40 F2              
 12.72 18.35 2560.65   94.31 F2F2            
 12.72 18.31 3637.16   94.34 F2F2F2          
  6.83 11.27 1827.90   94.00 F2              
  6.83 12.06 3195.77   93.97 F2F2            
  6.83  0.00    0.00    0.00                 
  9.25 13.44 1634.42   97.59 F2              
  9.25 14.46 2905.39   97.56 F2F2            
  9.25 14.14 4173.10   97.61 F2F2F2          
 23.58 28.27 1160.33   91.93 F2              
 23.58 30.78 2068.53   91.51 F2F2            
 23.58 31.60 2899.05   91.33 F2F2F2          
 18.15 22.23 1222.36   94.95 F2              
 18.15 24.27 2205.71   94.76 F2F2            
 18.15 24.66 3122.04   94.74 F2F2F2          
 20.04 24.22 1177.72   94.48 F2              
 20.04 26.41 2125.23   94.23 F2F2            
 20.04 26.95 3002.62   94.17 F2F2F2          
  9.55 13.75 1615.25   94.36 F2              
  9.55 14.92 2862.30   94.32 F2F2            
  9.55 14.65 4084.91   94.36 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 14.92 2862.30   94.32 F2F2            
  0.00 14.65 4084.91   94.36 F2F2F2          
 18.87 22.96 1204.02   93.92 F2              
 18.87 25.08 2173.11   93.70 F2F2            
 18.87 25.56 3072.10   93.66 F2F2F2          
 24.95 30.29 1193.12   98.52 F2              
 24.95 32.60 2088.88   98.15 F2F2            
 24.95 33.07 2918.97   98.05 F2F2F2          
  0.50  6.24 2501.26   94.46 F2              
  0.50  6.47 4349.40   94.44 F2F2            
  0.50  0.00    0.00    0.00                 
  9.59 13.76 1610.51   95.97 F2              
  9.59 14.87 2860.95   95.94 F2F2            
  9.59 14.58 4096.23   95.99 F2F2F2          
 12.26 16.33 1453.32   94.61 F2              
 12.26 17.82 2597.51   94.53 F2F2            
 12.26 17.72 3694.50   94.57 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 17.82 2597.51   94.53 F2F2            
  0.00 17.72 3694.50   94.57 F2F2F2          
 17.06 21.10 1248.81   98.13 F2              
 17.06 22.92 2255.94   97.99 F2F2            
 17.06 23.09 3207.88   98.01 F2F2F2          
 19.48 23.60 1187.58   94.20 F2              
 19.48 25.74 2144.60   93.97 F2F2            
 19.48 26.25 3032.21   93.92 F2F2F2          
 25.28 30.83 1235.87   93.97 F2              
 25.28 33.26 2139.31   93.50 F2F2            
 25.28 33.86 2970.61   93.32 F2F2F2          
 23.50 28.11 1151.18   92.36 F2              
 23.50 30.59 2057.77   91.95 F2F2            
 23.50 31.37 2888.66   91.79 F2F2F2          
  5.98 10.43 1903.05   95.32 F2              
  5.98 11.04 3328.44   95.30 F2F2            
  5.98  0.00    0.00    0.00                 
 12.50 16.53 1436.94   96.72 F2              
 12.50 17.95 2575.85   96.66 F2F2            
 12.50 17.81 3676.22   96.71 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 17.95 2575.85   96.66 F2F2            
  0.00 17.81 3676.22   96.71 F2F2F2          
 13.22 17.25 1404.20   94.09 F2              
 13.22 18.85 2515.88   93.99 F2F2            
 13.22 18.84 3573.78   94.03 F2F2F2          
  9.86 13.98 1589.44   97.28 F2              
  9.86 15.06 2832.43   97.25 F2F2            
  9.86 14.75 4065.87   97.30 F2F2F2          
 24.74 29.80 1191.22   91.01 F2              
 24.74 32.35 2096.80   90.51 F2F2            
 24.74 33.17 2924.31   90.28 F2F2F2          
 23.80 28.48 1152.69   92.54 F2              
 23.80 30.96 2056.89   92.13 F2F2            
 23.80 31.73 2885.97   91.96 F2F2F2          
  0.25  6.06 2527.32   94.36 F2              
  0.25  0.00    0.00    0.00                 
  0.25 31.73 2885.97   91.96 F2F2F2          
 10.24 14.33 1564.04   97.77 F2              
 10.24 15.44 2792.05   97.74 F2F2            
 10.24 15.14 4008.65   97.80 F2F2F2          
 19.42 23.39 1203.32   84.99 F2              
 19.42 25.80 2171.54   84.63 F2F2            
 19.42 26.69 3050.50   84.45 F2F2F2          
 13.65 17.66 1381.35   95.69 F2              
 13.65 19.23 2480.83   95.61 F2F2            
 13.65 19.20 3531.28   95.64 F2F2F2          
 24.10 28.80 1167.74   88.75 F2              
 24.10 31.40 2077.29   88.24 F2F2            
 24.10 32.34 2905.06   87.99 F2F2F2          
  5.28  9.81 1969.20   94.83 F2              
  5.28 10.34 3433.72   94.81 F2F2            
  5.28  0.00    0.00    0.00                 
 21.62 25.80 1158.47   88.22 F2              
 21.62 28.27 2088.46   87.84 F2F2            
 21.62 29.15 2936.35   87.66 F2F2F2          
 18.60 22.65 1205.90   94.04 F2              
 18.60 24.71 2179.04   93.83 F2F2            
 18.60 25.14 3084.64   93.80 F2F2F2          
 14.15 18.12 1369.39   87.41 F2              
 14.15 20.04 2450.79   87.24 F2F2            
 14.15 20.36 3451.67   87.20 F2F2F2          
  8.27 12.51 1702.66   95.39 F2              
  8.27 13.42 3008.73   95.37 F2F2            
  8.27  0.00    0.00    0.00                 
  0.20  6.04 2525.16   92.76 F2              
  0.20  0.00    0.00    0.00                 
  0.20  0.00    0.00    0.00                 
 13.34 17.34 1394.17   95.50 F2              
 13.34 18.88 2502.96   95.42 F2F2            
 13.34 18.81 3564.74   95.46 F2F2F2          
 22.57 27.01 1127.58  100.06 F2              
 22.57 29.14 2032.75   99.82 F2F2            
 22.57 29.54 2879.37   99.78 F2F2F2          
 15.45 19.43 1303.92   95.45 F2              
 15.45 21.17 2350.41   95.33 F2F2            
 15.45 21.28 3340.96   95.36 F2F2F2          
 21.13 25.29 1155.93   91.20 F2              
 21.13 27.62 2087.41   90.88 F2F2            
 21.13 28.33 2943.71   90.77 F2F2F2          
  9.43 13.57 1616.34   95.58 F2              
  9.43 14.63 2871.72   95.54 F2F2            
  9.43 14.31 4117.07   95.60 F2F2F2          
 10.16 14.25 1566.97   96.17 F2              
 10.16 15.38 2793.26   96.13 F2F2            
 10.16 15.08 4003.87   96.19 F2F2F2          
 11.95 15.98 1463.87   94.62 F2              
 11.95 17.39 2617.80   94.56 F2F2            
 11.95 17.23 3731.10   94.60 F2F2F2          
 25.14 30.30 1199.30   91.08 F2              
 25.14 32.82 2103.27   90.57 F2F2            
 25.14 33.59 2931.10   90.34 F2F2F2          
 12.76 16.76 1421.24   94.81 F2              
 12.76 18.25 2547.75   94.73 F2F2            
 12.76 18.15 3629.08   94.78 F2F2F2          
 14.24 18.21 1349.34   97.30 F2              
 14.24 19.75 2431.38   97.22 F2F2            
 14.24 19.68 3470.05   97.26 F2F2F2          
 18.11 22.12 1213.50   95.58 F2              
 18.11 24.07 2195.32   95.41 F2F2            
 18.11 24.37 3115.93   95.40 F2F2F2          
 13.47 17.45 1385.48   95.40 F2              
 13.47 18.98 2489.50   95.32 F2F2            
 13.47 18.91 3547.26   95.36 F2F2F2          
 20.54 24.63 1162.44   91.13 F2              
 20.54 26.90 2101.86   90.84 F2F2            
 20.54 27.56 2967.17   90.74 F2F2F2          
  9.47 13.58 1611.10   95.88 F2              
  9.47 14.62 2865.51   95.85 F2F2            
  9.47 14.28 4113.23   95.90 F2F2F2          
 22.32 26.63 1133.40   94.50 F2              
 22.32 28.92 2045.02   94.19 F2F2            
 22.32 29.53 2888.61   94.10 F2F2F2          
  7.08 11.37 1797.10   95.61 F2              
  7.08 12.07 3162.06   95.60 F2F2            
  7.08  0.00    0.00    0.00                 
 11.51 15.54 1485.00   95.34 F2              
 11.51 16.85 2655.60   95.29 F2F2            
 11.51 16.63 3794.30   95.34 F2F2F2          
 13.29 17.26 1393.33   94.70 F2              
 13.29 18.80 2501.99   94.62 F2F2            
 13.29 18.73 3563.42   94.66 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 18.80 2501.99   94.62 F2F2            
  0.00 18.73 3563.42   94.66 F2F2F2          
  9.06 13.17 1637.94   96.99 F2              
  9.06 14.11 2914.55   96.97 F2F2            
  9.06  0.00    0.00    0.00                 
 14.93 18.87 1319.18   95.97 F2              
 14.93 20.51 2379.26   95.88 F2F2            
 14.93 20.53 3389.78   95.91 F2F2F2          
 13.14 17.10 1398.10   95.71 F2              
 13.14 18.57 2512.59   95.64 F2F2            
 13.14 18.44 3585.81   95.69 F2F2F2          
 11.15 15.15 1502.05   96.96 F2              
 11.15 16.34 2690.04   96.92 F2F2            
 11.15 16.05 3859.24   96.98 F2F2F2          
 14.28 18.22 1349.52   92.26 F2              
 14.28 19.92 2425.96   92.14 F2F2            
 14.28 20.01 3442.70   92.16 F2F2F2          
 25.32 30.42 1185.17   92.01 F2              
 25.32 32.90 2084.81   91.52 F2F2            
